default,revolving_utilization_of_unsecured_lines,age,number_of_time30_59days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90days_late,number_real_estate_loans_or_lines,number_of_time60_89days_past_due_not_worse,number_of_dependents,probability_default,score,decision,risk_band
1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2,0.33753870043309353,662,reject,High
0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1,0.12503328911989106,875,reject,High
0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0,0.3968727802975507,603,reject,High
0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0,0.01682479732067822,983,accept,Medium
0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0,0.15413389690586543,846,reject,High
0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1,0.01059131299048283,989,accept,Medium
0,0.305682465,57,0,5710.0,5400.0,8,0,3,0,0,0.024847611339321278,975,accept,Medium
0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0,0.0814599656790613,919,reject,High
0,0.116950644,27,0,46.0,5400.0,2,0,0,0,0,0.013996205071606201,986,accept,Medium
0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2,0.021277477818312015,979,accept,Medium
0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0,0.07330753105690209,927,reject,High
0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2,0.013550552131521964,986,accept,Medium
0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2,0.01227299433078857,988,accept,Medium
1,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2,0.5105743754201162,489,reject,High
0,0.019656581,76,0,477.0,0.0,6,0,1,0,0,0.00883545768190922,991,accept,Medium
0,0.548458062,64,0,0.209891754,11362.0,7,0,1,0,2,0.026377756271727306,974,accept,Medium
0,0.061086118,78,0,2058.0,5400.0,10,0,2,0,0,0.009164563974787307,991,accept,Medium
0,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0,0.014051695856647766,986,accept,Medium
0,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2,0.023308921904440925,977,accept,Medium
0,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0,0.05752014798829356,942,reject,High
0,0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0,0.02016907091042458,980,accept,Medium
1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2,0.014333412903584985,986,accept,Medium
0,0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0,0.11804662362854854,882,reject,High
0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0,0.010310740959943866,990,accept,Medium
0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0,0.010513622664217584,989,accept,Medium
1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1,0.05124124388004146,949,reject,High
0,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0,0.011397672380045996,989,accept,Medium
